player_name,ktc_value,ktc_rank,age,fc_value,fc_rank,fc_rank_overall,draft_age,draft_year,pos,rnd,pick,fp_value,rank_diff,value_avg
Mike Boone,162,481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyree Jackson,159,482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ty Johnson,153,483,NA,NA,NA,NA,21,2019,RB,6,186,NA,NA,NA
Darrynton Evans,151,484,NA,NA,NA,NA,22,2020,RB,3,93,NA,NA,NA
Keaton Mitchell,149,485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rakim Jarrett,145,486,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
Josiah Deguara,137,487,NA,NA,NA,NA,23,2020,TE,3,94,NA,NA,NA
Carson Wentz,128,488,NA,NA,NA,NA,23,2016,QB,1,2,12,NA,NA
Demarcus Robinson,121,489,NA,NA,NA,NA,21,2016,WR,4,126,NA,NA,NA
J.D. McKissic,97,490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jalen Wydermyer,88,491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N'Keal Harry,73,492,NA,NA,NA,NA,21,2019,WR,1,32,NA,NA,NA
Shane Zylstra,64,493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dontrell Hilliard,62,494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quintez Cephus,52,495,NA,NA,NA,NA,22,2020,WR,5,166,NA,NA,NA
Benny Snell,47,496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
David Moore,22,497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Josh Doctson,7,498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rashard Higgins,0,499,NA,NA,NA,NA,21,2016,WR,5,172,NA,NA,NA
Keelan Cole,0,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
