player_name,normalized_ktc,normalized_fc,ktc_rank,fc_position,fc_rank_overall,avg_norm,weighted_avg_norm,weighted_avg_norm_rank,weighted_norm_value_drop,draft_year,rnd,pick,team_name,,,,,
Joe Mixon,3244,2074,110,RB,101,2659,2439.36,91,-8.91000000000031,2017,2,48,JoJos Bizzare Massage,,,,,
Najee Harris,3234,2042,111,RB,104,2638,2414.94,92,-24.4200000000001,2021,1,24,The Serle Brothers,,,,,
Keenan Allen,3343,1987,105,WR,109,2665,2414.61,93,-0.329999999999927,2013,3,76,JoJos Bizzare Massage,,,,,
Amari Cooper,3483,1886,96,WR,116,2684.5,2394.15,94,-20.46,2015,1,4,JoJos Bizzare Massage,,,,,
Diontae Johnson,3414,1840,99,WR,121,2627,2341.02,95,-53.1299999999997,2019,3,66,JoJos Bizzare Massage,,,,,
Terry McLaurin,3506,1788,93,WR,126,2647,2337.06,96,-3.96000000000004,2019,3,76,DirtyDan113,,,,,
David Njoku,3378,1845,101,TE,119,2611.5,2332.44,97,-4.62000000000035,2017,1,29,The Serle Brothers,,,,,
Evan Engram,3060,1989,125,TE,108,2524.5,2322.54,98,-9.90000000000009,2017,1,23,Kissy Boy Jones,,,,,
David Montgomery,3365,1830,103,RB,122,2597.5,2318.25,99,-4.28999999999996,2019,3,73,Kissy Boy Jones,,,,,
Chris Godwin,3418,1786,98,WR,127,2602,2306.7,100,-11.5500000000002,2017,3,84,The Scene Worships Me,,,,,
Jonathon Brooks,3155,1897,117,RB,114,2526,2293.17,101,-13.5299999999997,NA,NA,NA,NA,,,,,
Matthew Stafford,3135,1907,119,QB,113,2521,2293.17,102,0,NA,NA,NA,The Millennium Beer,,,,,
Michael Penix Jr.,3360,1790,104,QB,125,2575,2290.2,103,-2.97000000000025,NA,NA,NA,NA,,,,,
Christian Watson,3409,1759,100,WR,131,2584,2285.91,104,-4.28999999999996,2022,2,34,JoJos Bizzare Massage,,,,,
Calvin Ridley,3333,1776,106,WR,129,2554.5,2272.05,105,-13.8599999999997,NA,NA,NA,HorseWomen of Color,,,,,
Tony Pollard,3182,1850,114,RB,118,2516,2271.06,106,-0.990000000000237,2019,4,128,The Scene Worships Me,,,,,
Alvin Kamara,3054,1890,126,RB,115,2472,2255.22,107,-15.8399999999997,2017,3,67,Pablo and the Stallions,,,,,
Trey Benson,2903,1947,138,RB,110,2425,2243.01,108,-12.21,NA,NA,NA,NA,,,,,
Ladd McConkey,3179,1804,115,WR,124,2491.5,2239.71,109,-3.30000000000018,NA,NA,NA,NA,,,,,
Keon Coleman,2856,1873,141,WR,117,2364.5,2178.66,110,-61.0500000000002,NA,NA,NA,NA,,,,,
Bo Nix,2998,1772,131,QB,130,2385,2158.86,111,-19.7999999999997,NA,NA,NA,NA,,,,,
Rhamondre Stevenson,3109,1715,120,RB,133,2412,2157.87,112,-0.990000000000237,2021,4,120,A Team of Chance,,,,,
Nick Chubb,2972,1783,134,RB,128,2377.5,2157.54,113,-0.329999999999927,2018,2,35,Howling for Chubb,,,,,
Jake Ferguson,3183,1652,113,TE,138,2417.5,2140.71,114,-16.8299999999999,2022,4,129,JoJos Bizzare Massage,,,,,
Aaron Rodgers,2780,1841,145,QB,120,2310.5,2132.46,115,-8.25,NA,NA,NA,The Scene Worships Me,,,,,
Tyjae Spears,3312,1569,108,RB,143,2440.5,2128.5,116,-3.96000000000004,NA,NA,NA,Pablo and the Stallions,,,,,
Brian Robinson,3033,1681,129,RB,136,2357,2110.35,117,-18.1499999999996,NA,NA,NA,DirtyDan113,,,,,
Blake Corum,2993,1701,132,RB,135,2347,2110.35,118,0,NA,NA,NA,NA,,,,,
Aaron Jones,2852,1734,142,RB,132,2293,2085.6,119,-24.75,2017,5,182,The Scene Worships Me,,,,,
Michael Mayer,3084,1563,123,TE,145,2323.5,2049.3,120,-36.3000000000002,NA,NA,NA,Kissy Boy Jones,,,,,
Dalton Schultz,2945,1624,136,TE,140,2284.5,2043.69,121,-5.61000000000013,2018,4,137,The Scene Worships Me,,,,,
Josh Downs,3169,1458,116,WR,153,2313.5,2008.05,122,-35.6399999999999,NA,NA,NA,JoJos Bizzare Massage,,,,,
Cole Kmet,2965,1553,135,TE,147,2259,2003.43,123,-4.62000000000012,2020,2,43,JoJos Bizzare Massage,,,,,
Jameson Williams,3069,1493,124,WR,150,2281,1998.15,124,-5.27999999999997,2022,1,12,Howling for Chubb,,,,,
Zamir White,3054,1451,127,RB,156,2252.5,1965.48,125,-32.6700000000001,2022,4,122,HorseWomen of Color,,,,,
Zach Charbonnet,2984,1468,133,RB,151,2226,1953.6,126,-11.8800000000001,NA,NA,NA,Howling for Chubb,,,,,
Derek Carr,2584,1654,161,QB,137,2119,1944.36,127,-9.23999999999978,2014,2,36,JoJos Bizzare Massage,,,,,
Jaylen Warren,3036,1421,128,RB,157,2228.5,1939.74,128,-4.62000000000012,NA,NA,NA,The Serle Brothers,,,,,
Russell Wilson,2566,1649,163,QB,139,2107.5,1935.12,129,-4.61999999999966,2012,3,75,The Serle Brothers,,,,,
James Conner,2743,1555,150,RB,146,2149,1931.49,130,-3.63000000000034,2017,3,105,Kissy Boy Jones,,,,,
Jerry Jeudy,2931,1410,137,WR,158,2170.5,1897.83,131,-33.6600000000001,2020,1,15,Pablo and the Stallions,,,,,
Romeo Doubs,3148,1294,118,WR,170,2221,1892.88,132,-4.94999999999982,2022,4,132,Kissy Boy Jones,,,,,
Geno Smith,2750,1465,148,QB,152,2107.5,1874.4,133,-18.48,2013,2,39,Kissy Boy Jones,,,,,
Dallas Goedert,2731,1454,151,TE,155,2092.5,1860.87,134,-13.53,2018,2,49,A Team of Chance,,,,,
Austin Ekeler,2352,1619,175,RB,142,1985.5,1844.7,135,-16.1700000000001,NA,NA,NA,DirtyDan113,,,,,
Jahan Dotson,2859,1327,140,WR,165,2093,1819.29,136,-25.4100000000001,2022,1,16,JoJos Bizzare Massage,,,,,
Pat Freiermuth,2837,1337,143,TE,164,2087,1818.63,137,-0.659999999999855,2021,2,55,The Millennium Beer,,,,,
Kendre Miller,2869,1319,139,RB,167,2094,1817.31,138,-1.31999999999994,NA,NA,NA,Pablo and the Stallions,,,,,
Daniel Jones,2565,1405,164,QB,159,1985,1773.75,139,-43.5600000000002,2019,1,6,Pablo and the Stallions,,,,,
Luke Musgrave,2809,1254,144,TE,172,2031.5,1754.61,140,-19.1399999999999,NA,NA,NA,The Millennium Beer,,,,,
Braelon Allen,2229,1541,185,RB,148,1885,1752.63,141,-1.98000000000002,NA,NA,NA,NA,,,,,
Xavier Legette,2501,1367,168,WR,163,1934,1727.55,142,-25.0799999999999,NA,NA,NA,NA,,,,,
Quentin Johnston,2553,1325,165,WR,166,1939,1716.99,143,-10.5600000000002,NA,NA,NA,Howling for Chubb,,,,,
DeAndre Hopkins,2508,1308,167,WR,169,1908,1690.92,144,-26.0699999999999,2013,1,27,DirtyDan113,,,,,
Sam Howell,2306,1403,178,QB,160,1854.5,1686.96,145,-3.96000000000004,2022,5,144,Howling for Chubb,,,,,
Zack Moss,2656,1221,156,RB,176,1938.5,1682.34,146,-4.61999999999989,2020,3,86,DirtyDan113,,,,,
Courtland Sutton,2730,1151,152,WR,185,1940.5,1660.56,147,-21.78,2018,2,40,HorseWomen of Color,,,,,
Jakobi Meyers,2656,1182,155,WR,178,1919,1656.6,148,-3.96000000000026,NA,NA,NA,Pablo and the Stallions,,,,,
Marvin Mims,2708,1152,153,WR,183,1930,1653.96,149,-2.63999999999987,NA,NA,NA,The Millennium Beer,,,,,
Mike Williams,2426,1278,170,WR,171,1852,1644.06,150,-9.90000000000009,2017,1,7,Kissy Boy Jones,,,,,
Dontayvion Wicks,2693,1076,154,WR,200,1884.5,1598.85,151,-45.2099999999998,NA,NA,NA,NA,,,,,
Chase Brown,2615,1112,159,RB,191,1863.5,1596.87,152,-1.98000000000002,NA,NA,NA,HorseWomen of Color,,,,,
Gabriel Davis,2640,1098,157,WR,194,1869,1595.88,153,-0.990000000000009,2020,4,128,Howling for Chubb,,,,,
Isaiah Likely,2639,1079,158,TE,199,1859,1583.01,154,-12.8700000000001,2022,4,139,HorseWomen of Color,,,,,
Michael Wilson,2580,1101,162,WR,193,1840.5,1578.06,155,-4.94999999999982,NA,NA,NA,Kissy Boy Jones,,,,,
Devin Singletary,2453,1157,169,RB,182,1805,1573.11,156,-4.95000000000005,2019,3,74,JoJos Bizzare Massage,,,,,
Raheem Mostert,2291,1231,180,RB,175,1761,1568.49,157,-4.61999999999989,NA,NA,NA,DirtyDan113,,,,,
Chuba Hubbard,2383,1142,173,RB,186,1762.5,1540.11,158,-28.3800000000001,2021,4,126,JoJos Bizzare Massage,,,,,
Curtis Samuel,2340,1151,177,WR,184,1745.5,1531.86,159,-8.25,2017,2,40,The Scene Worships Me,,,,,
Roman Wilson,2143,1244,194,WR,174,1693.5,1528.23,160,-3.63000000000011,NA,NA,NA,NA,,,,,
Gardner Minshew,2395,1097,172,QB,195,1746,1514.37,161,-13.8600000000001,NA,NA,NA,JoJos Bizzare Massage,,,,,
Gus Edwards,2268,1125,181,RB,189,1696.5,1490.94,162,-23.4299999999998,NA,NA,NA,A Team of Chance,,,,,
Ja'Tavion Sanders,1732,1367,218,TE,162,1549.5,1473.78,163,-17.1599999999999,NA,NA,NA,NA,,,,,
Josh Palmer,2358,981,174,WR,209,1669.5,1425.6,164,-48.1800000000003,2021,3,77,The Millennium Beer,,,,,
Jerome Ford,2342,988,176,RB,208,1665,1424.94,165,-0.659999999999855,2022,5,156,The Scene Worships Me,,,,,
Keaton Mitchell,2397,931,171,RB,211,1664,1405.47,166,-19.47,NA,NA,NA,NA,,,,,
Darnell Mooney,2178,1026,189,WR,204,1602,1395.9,167,-9.56999999999994,2020,5,173,DirtyDan113,,,,,
Sam Darnold,2169,1026,190,QB,203,1597.5,1392.93,168,-2.97000000000003,2018,1,3,The Serle Brothers,,,,,
Khalil Shakir,2248,931,184,WR,212,1589.5,1356.3,169,-36.6299999999999,2022,5,148,The Millennium Beer,,,,,
Roschon Johnson,2291,862,179,RB,222,1576.5,1324.95,170,-31.3499999999999,NA,NA,NA,HorseWomen of Color,,,,,
J.K. Dobbin,1943,1006,202,RB,206,1474.5,1305.15,171,-19.8000000000002,NA,NA,NA,NA,,,,,
Tucker Kraft,2130,869,195,TE,220,1499.5,1276.44,172,-28.71,NA,NA,NA,The Serle Brothers,,,,,
Wan'Dale Robinson,2163,848,191,WR,223,1505.5,1273.47,173,-2.9699999999998,2022,2,43,The Millennium Beer,,,,,
Ja'Lynn Polk,1656,1096,224,WR,196,1376,1269.84,174,-3.63000000000011,NA,NA,NA,NA,,,,,
Bucky Irving,1562,1129,232,RB,188,1345.5,1260.6,175,-9.24000000000024,NA,NA,NA,NA,,,,,
Tyler Lockett,2192,813,188,WR,228,1502.5,1259.94,176,-0.659999999999855,2015,3,69,Howling for Chubb,,,,,
Ricky Pearsall,1490,1162,238,WR,180,1326,1258.62,177,-1.31999999999994,NA,NA,NA,NA,,,,,
Rashid Shaheed,2258,776,183,WR,232,1517,1257.3,178,-1.32000000000016,NA,NA,NA,The Millennium Beer,,,,,
Demario Douglas,2260,766,182,WR,236,1513,1251.36,179,-5.93999999999983,NA,NA,NA,NA,,,,,
Cade Otton,2053,867,198,TE,221,1460,1249.71,180,-1.65000000000009,2022,4,106,The Millennium Beer,,,,,
Antonio Gibson,2114,833,196,RB,225,1473.5,1247.4,181,-2.30999999999995,2020,3,66,The Serle Brothers,,,,,
MarShawn Lloyd,1417,1160,249,RB,181,1288.5,1233.21,182,-14.1900000000001,NA,NA,NA,NA,,,,,
Malachi Corley,1353,1170,259,WR,179,1261.5,1218.69,183,-14.52,NA,NA,NA,NA,,,,,
Jalin Hyatt,2151,750,192,WR,242,1450.5,1204.83,184,-13.8600000000001,NA,NA,NA,Pablo and the Stallions,,,,,
Treylon Burks,2095,763,197,WR,237,1429,1194.93,185,-9.89999999999986,2022,1,18,JoJos Bizzare Massage,,,,,
Audric Estime,1422,1086,248,RB,198,1254,1186.02,186,-8.91000000000008,NA,NA,NA,NA,,,,,
Dameon Pierce,1908,821,205,RB,227,1364.5,1171.5,187,-14.52,2022,4,107,The Scene Worships Me,,,,,
