player_name,normalized_ktc,normalized_fc,ktc_rank,fc_position,fc_rank_overall,avg_norm,weighted_avg_norm,weighted_avg_norm_rank,weighted_norm_value_drop,draft_year,rnd,pick,team_name
D.J. Moore,4741,2794,56,WR,56,3767.5,3408.57,49,-137.2800000000002,2018,1,24,The Scene Worships Me
Najee Harris,4589,2602,62,RB,58,3595.5,3231.6900000000005,50,-176.87999999999963,2021,1,24,The Serle Brothers
Rhamondre Stevenson,4633,2574,60,RB,60,3603.5,3227.7300000000005,51,-3.960000000000037,2021,4,120,A Team of Chance
Quentin Johnston,4790,2420,55,WR,66,3605,3177.9,52,-49.83000000000038,NA,NA,NA,Howling for Chubb
Christian Watson,4738,2438,57,WR,65,3588,3172.62,53,-5.2800000000002,2022,2,34,JoJos Bizzare Massage
Jordan Addison,5040,2286,47,WR,73,3663,3171.96,54,-0.6599999999998545,NA,NA,NA,The Serle Brothers
Javonte Williams,4381,2538,65,RB,62,3459.5,3120.8100000000004,55,-51.14999999999963,2021,2,35,The Millennium Beer
Brandon Aiyuk,4727,2355,58,WR,71,3541,3114.21,56,-6.600000000000364,2020,1,25,Howling for Chubb
T.J. Hockenson,4628,2401,61,TE,68,3514.5,3111.9,57,-2.3099999999999454,2019,1,8,JoJos Bizzare Massage
Jerry Jeudy,4650,2372,59,WR,69,3511,3100.02,58,-11.88000000000011,2020,1,15,Pablo and the Stallions
Derrick Henry,3924,2709,81,RB,57,3316.5,3082.86,59,-17.159999999999854,2016,2,45,JoJos Bizzare Massage
Kenny Pickett,4177,2519,69,QB,63,3348,3040.9500000000003,60,-41.909999999999854,2022,1,20,Pablo and the Stallions
Jared Goff,4025,2590,77,QB,59,3307.5,3037.65,61,-3.300000000000182,2016,1,1,A Team of Chance
Jordan Love,4179,2410,68,QB,67,3294.5,2969.67,62,-67.98000000000002,2020,1,26,The Scene Worships Me
George Pickens,4456,2177,63,WR,78,3316.5,2907.3,63,-62.36999999999989,2022,2,52,Howling for Chubb
Kirk Cousins,3697,2494,96,QB,64,3095.5,2866.05,64,-41.25,2012,4,102,JoJos Bizzare Massage
Dalton Kincaid,4143,2266,72,TE,74,3204.5,2862.75,65,-3.300000000000182,NA,NA,NA,A Team of Chance
Deebo Samuel,4162,2245,70,WR,75,3203.5,2855.16,66,-7.5900000000001455,2019,2,36,DirtyDan113
Calvin Ridley,4421,2070,64,WR,83,3245.5,2825.13,67,-30.029999999999745,NA,NA,NA,HorseWomen of Color
Jahan Dotson,4341,2066,66,WR,85,3203.5,2796.09,68,-29.039999999999964,2022,1,16,JoJos Bizzare Massage
Zay Flowers,4331,2064,67,WR,86,3197.5,2791.4700000000003,69,-4.619999999999891,NA,NA,NA,Kissy Boy Jones
Terry McLaurin,4144,2100,71,WR,82,3122,2753.52,70,-37.95000000000027,2019,3,76,DirtyDan113
Geno Smith,3610,2319,97,QB,72,2964.5,2721.84,71,-31.679999999999836,2013,2,39,Kissy Boy Jones
Aaron Rodgers,3498,2371,103,QB,70,2934.5,2719.2000000000003,72,-2.6399999999998727,NA,NA,NA,The Scene Worships Me
J.K. Dobbins,3832,2176,84,RB,79,3004,2700.7200000000003,73,-18.480000000000015,2020,2,55,Pablo and the Stallions
George Kittle,3900,2114,82,TE,80,3007,2682.24,74,-18.480000000000473,2017,5,146,DirtyDan113
Dameon Pierce,4090,1949,74,RB,93,3019.5,2636.04,75,-46.19999999999982,2022,4,107,The Scene Worships Me
Treylon Burks,4062,1933,75,WR,95,2997.5,2616.24,76,-19.800000000000185,2022,1,18,JoJos Bizzare Massage
Brock Purdy,3763,2052,90,QB,87,2907.5,2596.11,77,-20.129999999999654,2022,7,262,Kissy Boy Jones
Miles Sanders,3748,2030,91,RB,89,2889,2576.6400000000003,78,-19.4699999999998,2019,2,53,DirtyDan113
Joe Mixon,3580,2104,99,RB,81,2842,2570.04,79,-6.600000000000364,2017,2,48,JoJos Bizzare Massage
Michael Pittman,4034,1874,76,WR,102,2954,2568.0600000000004,80,-1.9799999999995632,2020,2,34,Kissy Boy Jones
Jameson Williams,3880,1915,83,WR,97,2897.5,2544.3,81,-23.76000000000022,2022,1,12,Howling for Chubb
James Cook,3713,1995,95,RB,90,2854,2541.99,82,-2.3100000000004,2022,2,63,A Team of Chance
Chris Godwin,3779,1961,87,WR,92,2870,2541.33,83,-0.6599999999998545,2017,3,84,The Scene Worships Me
Dallas Goedert,3770,1904,88,TE,98,2837,2500.74,84,-40.58999999999969,2018,2,49,A Team of Chance
Marquise Brown,3765,1848,89,WR,104,2806.5,2462.13,85,-38.61000000000013,2019,1,25,HorseWomen of Color
Christian Kirk,3926,1750,80,WR,113,2838,2450.58,86,-11.550000000000182,2018,2,47,The Millennium Beer
Amari Cooper,3806,1792,86,WR,110,2799,2438.7,87,-11.88000000000011,2015,1,4,JoJos Bizzare Massage
Aaron Jones,3570,1896,100,RB,99,2733,2429.46,88,-9.239999999999782,2017,5,182,The Scene Worships Me
Diontae Johnson,3814,1747,85,WR,114,2780.5,2411.6400000000003,89,-17.81999999999971,2019,3,66,JoJos Bizzare Massage
Cam Akers,3596,1856,98,RB,103,2726,2411.6400000000003,90,0,2020,2,52,JoJos Bizzare Massage
Russell Wilson,3174,2046,116,QB,88,2610,2397.78,91,-13.860000000000127,2012,3,75,The Serle Brothers
Rachaad White,3721,1771,94,RB,112,2746,2396.79,92,-0.9900000000002364,2022,3,91,The Millennium Beer
Derek Carr,3387,1937,107,QB,94,2662,2396.13,93,-0.6599999999998545,2014,2,36,JoJos Bizzare Massage
Keenan Allen,3301,1970,111,WR,91,2635.5,2389.53,94,-6.599999999999909,2013,3,76,JoJos Bizzare Massage
